date,close,open,high,low,volume,returns
2021/5/18,"3,699.00","3,690.24","3,699.00","3,679.96",27.11B,0.32%
2021/5/17,"3,687.05","3,658.51","3,700.57","3,658.24",32.19B,0.78%
2021/5/14,"3,658.48","3,601.55","3,658.76","3,587.36",33.66B,1.78%
2021/5/13,"3,594.66","3,597.31","3,614.02","3,582.93",31.90B,-0.96%
2021/5/12,"3,629.45","3,594.83","3,633.26","3,593.40",31.12B,0.61%
2021/5/11,"3,607.53","3,570.55","3,614.10","3,547.60",35.06B,0.40%
2021/5/10,"3,593.00","3,588.39","3,594.85","3,565.69",37.38B,0.27%
2021/5/7,"3,583.46","3,612.35","3,624.39","3,581.25",35.34B,-0.65%
2021/5/6,"3,606.97","3,611.99","3,638.39","3,591.83",31.00B,-0.16%
2021/4/30,"3,612.81","3,635.30","3,636.13","3,591.87",31.23B,-0.81%
2021/4/29,"3,642.23","3,624.58","3,645.73","3,613.56",27.64B,0.52%
2021/4/28,"3,623.52","3,597.40","3,623.52","3,588.12",24.71B,0.42%
2021/4/27,"3,608.37","3,605.72","3,609.68","3,581.78",25.29B,0.04%
2021/4/26,"3,606.85","3,651.92","3,665.54","3,604.13",27.67B,-0.95%
2021/4/23,"3,641.47","3,628.74","3,650.05","3,622.71",24.91B,0.26%
2021/4/22,"3,631.92","3,650.54","3,653.18","3,622.69",25.09B,-0.23%
2021/4/21,"3,640.14","3,622.70","3,648.88","3,616.21",25.36B,0.00%
2021/4/20,"3,640.16","3,634.07","3,662.56","3,630.20",28.50B,-0.13%
2021/4/19,"3,644.99","3,592.57","3,646.53","3,578.73",30.24B,1.49%
2021/4/16,"3,591.60","3,571.24","3,597.92","3,557.53",25.83B,0.81%
2021/4/15,"3,562.63","3,573.78","3,573.78","3,535.47",23.38B,-0.52%
2021/4/14,"3,581.25","3,560.61","3,584.73","3,556.34",23.31B,0.60%
2021/4/13,"3,560.02","3,575.56","3,590.38","3,551.04",27.05B,-0.48%
2021/4/12,"3,577.32","3,611.92","3,622.62","3,567.82",30.94B,-1.09%
2021/4/9,"3,616.86","3,642.85","3,642.86","3,607.90",27.99B,-0.92%
2021/4/8,"3,650.32","3,634.53","3,664.34","3,625.96",33.15B,0.08%
2021/4/7,"3,647.27","3,651.26","3,651.26","3,619.55",29.55B,-0.10%
2021/4/6,"3,650.79","3,659.89","3,661.62","3,639.03",23.46B,-0.04%
2021/4/2,"3,652.29","3,639.94","3,655.65","3,629.67",26.25B,0.52%
2021/4/1,"3,633.33","3,610.76","3,637.23","3,604.48",27.51B,0.71%
2021/3/31,"3,607.72","3,618.52","3,618.52","3,585.60",28.28B,-0.43%
2021/3/30,"3,623.21","3,597.87","3,624.22","3,588.20",28.52B,0.62%
2021/3/29,"3,600.77","3,594.86","3,616.04","3,574.13",28.46B,0.50%
2021/3/26,"3,582.99","3,535.77","3,588.13","3,535.77",27.45B,1.63%
2021/3/25,"3,525.56","3,516.64","3,545.11","3,506.03",27.05B,-0.10%
2021/3/24,"3,529.23","3,557.64","3,579.85","3,524.12",31.72B,-1.30%
2021/3/23,"3,575.87","3,611.35","3,611.43","3,553.35",32.61B,-0.93%
2021/3/22,"3,609.36","3,570.20","3,609.60","3,568.22",31.23B,1.14%
2021/3/19,"3,568.68","3,588.80","3,605.24","3,552.53",30.89B,-1.69%
2021/3/18,"3,629.94","3,615.84","3,645.77","3,615.56",28.42B,0.51%
2021/3/17,"3,611.55","3,601.22","3,620.46","3,574.52",27.98B,-0.03%
